"TIME","GEO","INDIC_IS","UNIT","IND_TYPE","Value","Flag and Footnotes"
"2011","European Union - 27 countries (from 2020)","Last internet use: in last 3 months","Percentage of individuals","All Individuals","69",""
"2011","European Union - 27 countries (from 2020)","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 27 countries (from 2020)","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","2",""
"2011","European Union - 27 countries (from 2020)","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","3",""
"2011","European Union - 27 countries (from 2020)","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","71",""
"2011","European Union - 27 countries (from 2020)","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 27 countries (from 2020)","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2011","European Union - 27 countries (from 2020)","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 27 countries (from 2020)","Individuals who have ever used the internet","Percentage of individuals","All Individuals","73",""
"2011","European Union - 27 countries (from 2020)","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 27 countries (from 2020)","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","28",""
"2011","European Union - 27 countries (from 2020)","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 27 countries (from 2020)","Internet use: never","Percentage of individuals","All Individuals","26",""
"2011","European Union - 27 countries (from 2020)","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 28 countries (2013-2020)","Last internet use: in last 3 months","Percentage of individuals","All Individuals","71",""
"2011","European Union - 28 countries (2013-2020)","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 28 countries (2013-2020)","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","2",""
"2011","European Union - 28 countries (2013-2020)","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","3",""
"2011","European Union - 28 countries (2013-2020)","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","73",""
"2011","European Union - 28 countries (2013-2020)","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 28 countries (2013-2020)","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2011","European Union - 28 countries (2013-2020)","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 28 countries (2013-2020)","Individuals who have ever used the internet","Percentage of individuals","All Individuals","75",""
"2011","European Union - 28 countries (2013-2020)","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 28 countries (2013-2020)","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","26",""
"2011","European Union - 28 countries (2013-2020)","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 28 countries (2013-2020)","Internet use: never","Percentage of individuals","All Individuals","24",""
"2011","European Union - 28 countries (2013-2020)","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 27 countries (2007-2013)","Last internet use: in last 3 months","Percentage of individuals","All Individuals","71",""
"2011","European Union - 27 countries (2007-2013)","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 27 countries (2007-2013)","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","2",""
"2011","European Union - 27 countries (2007-2013)","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","3",""
"2011","European Union - 27 countries (2007-2013)","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","73",""
"2011","European Union - 27 countries (2007-2013)","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 27 countries (2007-2013)","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2011","European Union - 27 countries (2007-2013)","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 27 countries (2007-2013)","Individuals who have ever used the internet","Percentage of individuals","All Individuals","75",""
"2011","European Union - 27 countries (2007-2013)","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 27 countries (2007-2013)","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals","26",""
"2011","European Union - 27 countries (2007-2013)","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 27 countries (2007-2013)","Internet use: never","Percentage of individuals","All Individuals","24",""
"2011","European Union - 27 countries (2007-2013)","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 25 countries (2004-2006)","Last internet use: in last 3 months","Percentage of individuals","All Individuals",":",""
"2011","European Union - 25 countries (2004-2006)","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 25 countries (2004-2006)","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals",":",""
"2011","European Union - 25 countries (2004-2006)","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 25 countries (2004-2006)","Last internet use: in the last 12 months","Percentage of individuals","All Individuals",":",""
"2011","European Union - 25 countries (2004-2006)","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 25 countries (2004-2006)","Last internet use: more than a year ago","Percentage of individuals","All Individuals",":",""
"2011","European Union - 25 countries (2004-2006)","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 25 countries (2004-2006)","Individuals who have ever used the internet","Percentage of individuals","All Individuals",":",""
"2011","European Union - 25 countries (2004-2006)","Individuals who have ever used the internet","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 25 countries (2004-2006)","Last internet use: more than a year ago or never","Percentage of individuals","All Individuals",":",""
"2011","European Union - 25 countries (2004-2006)","Last internet use: more than a year ago or never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 25 countries (2004-2006)","Internet use: never","Percentage of individuals","All Individuals",":",""
"2011","European Union - 25 countries (2004-2006)","Internet use: never","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 15 countries (1995-2004)","Last internet use: in last 3 months","Percentage of individuals","All Individuals","75",""
"2011","European Union - 15 countries (1995-2004)","Last internet use: in last 3 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 15 countries (1995-2004)","Last internet use: between 3 and 12 months ago","Percentage of individuals","All Individuals","2",""
"2011","European Union - 15 countries (1995-2004)","Last internet use: between 3 and 12 months ago","Percentage of individuals who used internet within the last year","All Individuals","2",""
"2011","European Union - 15 countries (1995-2004)","Last internet use: in the last 12 months","Percentage of individuals","All Individuals","77",""
"2011","European Union - 15 countries (1995-2004)","Last internet use: in the last 12 months","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 15 countries (1995-2004)","Last internet use: more than a year ago","Percentage of individuals","All Individuals","2",""
"2011","European Union - 15 countries (1995-2004)","Last internet use: more than a year ago","Percentage of individuals who used internet within the last year","All Individuals",":",""
"2011","European Union - 15 countries (1995-2004)","Individuals who have ever used the internet","Percentage of individuals","All Individuals","78",""
